"state","district","total_insurance_transactions"
"jharkhand","west singhbhum district","5576"
"gujarat","junagadh district","5567"
"karnataka","chamarajanagara district","5564"
"uttar-pradesh","ambedkar nagar district","5516"
"bihar","jamui district","5501"
"rajasthan","karauli district","5491"
"uttar-pradesh","kheri district","5463"
"madhya-pradesh","guna district","5443"
"telangana","warangal rural district","5393"
"himachal-pradesh","hamirpur district","5378"
"tamil-nadu","thiruvarur district","5377"
"uttar-pradesh","farrukhabad district","5343"
"chhattisgarh","surguja district","5340"
"assam","nalbari district","5277"
"madhya-pradesh","chhatarpur district","5270"
"gujarat","panch mahals district","5269"
"maharashtra","gadchiroli district","5238"
"assam","baksa district","5224"
"telangana","jangaon district","5209"
"karnataka","yadgir district","5194"
"punjab","sangrur district","5191"
"himachal-pradesh","sirmaur district","5190"
"andhra-pradesh","kakinada district","5174"
"assam","sivasagar district","5168"
"uttar-pradesh","bara banki district","5165"
"uttar-pradesh","bahraich district","5153"
"telangana","vikarabad district","5139"
"bihar","jehanabad district","5123"
"punjab","gurdaspur district","5108"
"uttar-pradesh","kanpur dehat district","5082"
"madhya-pradesh","sidhi district","5035"
"himachal-pradesh","mandi district","5022"
"odisha","kendrapara district","5017"
"madhya-pradesh","shahdol district","5011"
"assam","hojai district","4997"
"gujarat","sabar kantha district","4975"
"rajasthan","dholpur district","4967"
"rajasthan","baran district","4930"
"maharashtra","washim district","4924"
"telangana","nagarkurnool district","4919"
"himachal-pradesh","shimla district","4914"
"madhya-pradesh","rajgarh district","4871"
"tamil-nadu","kallakkurichi district","4856"
"rajasthan","banswara district","4841"
"uttar-pradesh","hathras district","4829"
"uttar-pradesh","auraiya district","4748"
"maharashtra","hingoli district","4666"
"telangana","adilabad district","4648"
"assam","biswanath district","4637"
"madhya-pradesh","vidisha district","4625"
"uttar-pradesh","sambhal district","4606"
"jharkhand","garhwa district","4580"
"jammu-&-kashmir","udhampur district","4547"
"madhya-pradesh","bhind district","4544"
"uttar-pradesh","kannauj district","4543"
"tamil-nadu","ariyalur district","4519"
"jammu-&-kashmir","kathua district","4487"
"madhya-pradesh","narsinghpur district","4474"
"bihar","kishanganj district","4472"
"jammu-&-kashmir","samba district","4463"
"uttar-pradesh","pilibhit district","4459"
"meghalaya","east khasi hills district","4428"
"punjab","kapurthala district","4424"
"jammu-&-kashmir","budgam district","4384"
"uttar-pradesh","etah district","4382"
"himachal-pradesh","una district","4353"
"dadra-&-nagar-haveli-&-daman-&-diu","daman district","4341"
"punjab","rupnagar district","4334"
"chhattisgarh","mahasamund district","4289"
"kerala","kasargod district","4265"
"assam","udalguri district","4237"
"telangana","hanumakonda district","4237"
"jharkhand","godda district","4219"
"punjab","fazilka district","4193"
"madhya-pradesh","neemuch district","4105"
"madhya-pradesh","shivpuri district","4090"
"rajasthan","dungarpur district","4022"
"uttar-pradesh","bhadohi district","4012"
"chhattisgarh","baloda bazar district","4007"
"jammu-&-kashmir","anantnag district","3984"
"assam","marigaon district","3980"
"madhya-pradesh","east nimar district","3951"
"assam","karbi anglong district","3949"
"telangana","jogulamba gadwal district","3917"
"madhya-pradesh","mandla district","3813"
"andhra-pradesh","anakapalli district","3810"
"madhya-pradesh","shajapur district","3800"
"uttarakhand","tehri garhwal district","3798"
"odisha","angul district","3762"
"madhya-pradesh","barwani district","3747"
"west-bengal","jhargram district","3704"
"telangana","kumuram bheem asifabad district","3702"
"odisha","nabarangpur district","3680"
"madhya-pradesh","jhabua district","3657"
"odisha","nayagarh district","3619"
"rajasthan","khairthal tijara district","3596"
"uttar-pradesh","sant kabeer nagar district","3594"
"bihar","lakhisarai district","3594"
"gujarat","amreli district","3568"
"uttar-pradesh","kasganj district","3549"
"gujarat","dohad district","3490"
"punjab","tarn taran district","3477"
"uttarakhand","pithoragarh district","3465"
"madhya-pradesh","anuppur district","3436"
"jharkhand","dumka district","3425"
"himachal-pradesh","chamba district","3416"
"odisha","kandhamal district","3398"
"arunachal-pradesh","papum pare district","3392"
"punjab","mansa district","3384"
"assam","dhemaji district","3382"
"uttarakhand","almora district","3373"
"assam","hailakandi district","3373"
"uttar-pradesh","banda district","3338"
"bihar","kaimur bhabua district","3303"
"gujarat","gir somnath district","3263"
"uttar-pradesh","balrampur district","3246"
"telangana","jaya shankar bhalupally district","3238"
"uttar-pradesh","lalitpur district","3198"
"chhattisgarh","surajpur district","3182"
"uttar-pradesh","kaushambi district","3152"
"west-bengal","cooch behar district","3146"
"rajasthan","sri ganganagar district","3142"
"odisha","gajapati district","3139"
"chhattisgarh","kanker district","3133"
"chhattisgarh","dhamtari district","3128"
"rajasthan","kotputli behror district","3115"
