"state","year","quarter","total_transactions","total_amount"
"gujarat",2023,4,"534115578","795087199074.0"
"gujarat",2024,1,"606576671","871619464924.0"
"gujarat",2024,2,"690395153","910625046933.0"
"gujarat",2024,3,"757441250","963551388101.0"
"gujarat",2024,4,"827374966","1076014501422.0"
"haryana",2018,1,"4480770","6793511514.660528"
"haryana",2018,2,"6150931","11320414442.116663"
"haryana",2018,3,"8262024","16375139007.627964"
"haryana",2018,4,"12950183","25390876016.455025"
"haryana",2019,1,"22135775","34051655721.631077"
"haryana",2019,2,"22741816","42501539813.21669"
"haryana",2019,3,"30343531","52489119199.44011"
"haryana",2019,4,"37825985","69359719869.10008"
"haryana",2020,1,"44036087","81976214558.24355"
"haryana",2020,2,"41781050","80711264923.94525"
"haryana",2020,3,"57938179","109567950445.72871"
"haryana",2020,4,"83171439","159998504366.53964"
"haryana",2021,1,"90252784","168938301082.4288"
"haryana",2021,2,"105680856","200357354238.6818"
"haryana",2021,3,"140459693","240827092259.20697"
"haryana",2021,4,"169686975","309240599300.4638"
"haryana",2022,1,"191988609","341304042652.78125"
"haryana",2022,2,"234699962","395234035249.5022"
"haryana",2022,3,"269361810","428054494578.0213"
"haryana",2022,4,"296648365","490490659880.10236"
"haryana",2023,1,"381318464","591150623736.0"
"haryana",2023,2,"457536190","661742128636.0"
"haryana",2023,3,"501519478","677491980740.0"
"haryana",2023,4,"554748233","782270484600.0"
"haryana",2024,1,"604293500","806788219232.0"
"haryana",2024,2,"738553925","905444595600.0"
"haryana",2024,3,"794940220","923206681798.0"
"haryana",2024,4,"841394290","1031959359354.0"
"himachal pradesh",2018,1,"481918","628737806.3723404"
"himachal pradesh",2018,2,"687695","1183169301.3511178"
"himachal pradesh",2018,3,"886754","1754041432.858025"
"himachal pradesh",2018,4,"1307883","2621298968.1392584"
"himachal pradesh",2019,1,"2168718","3381481442.991081"
"himachal pradesh",2019,2,"2502306","4875883973.61058"
"himachal pradesh",2019,3,"2735180","5572018781.123304"
"himachal pradesh",2019,4,"3516646","7271163537.248161"
"himachal pradesh",2020,1,"4144480","7419466751.122733"
"himachal pradesh",2020,2,"4695730","8036904762.544065"
"himachal pradesh",2020,3,"5489876","10516054014.086905"
"himachal pradesh",2020,4,"7272328","13989053108.813015"
"himachal pradesh",2021,1,"7614029","14120546909.487547"
"himachal pradesh",2021,2,"9483902","16495634539.809265"
"himachal pradesh",2021,3,"12064167","21310262071.128155"
"himachal pradesh",2021,4,"14666864","26136220500.625923"
"himachal pradesh",2022,1,"16088180","26518447439.932728"
"himachal pradesh",2022,2,"21291371","33709107958.242233"
"himachal pradesh",2022,3,"25164868","37380782688.54074"
"himachal pradesh",2022,4,"28555136","41779343232.37363"
"himachal pradesh",2023,1,"27301726","37740947734.0"
"himachal pradesh",2023,2,"35061595","46875063718.0"
"himachal pradesh",2023,3,"33337054","41854571637.0"
"himachal pradesh",2023,4,"38651839","48280246564.0"
"himachal pradesh",2024,1,"39520561","47884231339.0"
"himachal pradesh",2024,2,"52583801","59849740702.0"
"himachal pradesh",2024,3,"49737549","56615941598.0"
"himachal pradesh",2024,4,"53798398","63736996234.0"
"jammu & kashmir",2018,1,"941568","1005371239.2561305"
"jammu & kashmir",2018,2,"1796326","2651206236.5028934"
"jammu & kashmir",2018,3,"2303961","3934700999.457677"
"jammu & kashmir",2018,4,"2721310","5664720265.697432"
"jammu & kashmir",2019,1,"3584987","5951835476.521047"
"jammu & kashmir",2019,2,"2296355","6100142201.563448"
"jammu & kashmir",2019,3,"1116526","3744230491.7824554"
"jammu & kashmir",2019,4,"489928","1929695997.8225975"
"jammu & kashmir",2020,1,"921630","2937643176.534005"
"jammu & kashmir",2020,2,"2635006","8265648939.258666"
"jammu & kashmir",2020,3,"3465898","11977229760.872362"
"jammu & kashmir",2020,4,"5754444","15380905803.378227"
"jammu & kashmir",2021,1,"6997570","17138349893.151793"
"jammu & kashmir",2021,2,"10027819","22813755428.591625"
"jammu & kashmir",2021,3,"13151041","31598443648.03224"
"jammu & kashmir",2021,4,"16790628","38926237425.771454"
"jammu & kashmir",2022,1,"16245311","33147863626.158833"
"jammu & kashmir",2022,2,"23813747","46254290836.635826"
"jammu & kashmir",2022,3,"22534394","40963554502.24847"
"jammu & kashmir",2022,4,"27316158","44315295915.49408"
"jammu & kashmir",2023,1,"38927244","55921747581.0"
"jammu & kashmir",2023,2,"54588299","76530005380.0"
"jammu & kashmir",2023,3,"63903579","86016148426.0"
"jammu & kashmir",2023,4,"69167132","93070141760.0"
