"state","district","total_transactions","total_amount"
"maharashtra","nandurbar district","7179","13279233.0"
"rajasthan","sawai madhopur district","7166","8555164.0"
"tamil-nadu","tenkasi district","7136","10382520.0"
"bihar","araria district","7120","8444836.0"
"maharashtra","chhatrapati sambhaji nagar district","7098","12507417.0"
"assam","lakhimpur district","7080","13353524.0"
"odisha","bhadrak district","7038","8090532.0"
"rajasthan","rajsamand district","7035","11277399.0"
"rajasthan","tonk district","6997","9598821.0"
"telangana","mahbubnagar district","6961","9190065.0"
"uttarakhand","pauri garhwal district","6938","11090093.0"
"west-bengal","dakshin dinajpur district","6891","8166991.0"
"telangana","nirmal district","6839","8277416.0"
"jharkhand","hazaribagh district","6807","10293470.0"
"odisha","dhenkanal district","6794","8900184.0"
"jharkhand","deoghar district","6746","9634428.0"
"haryana","mewat district","6746","9420073.0"
"uttar-pradesh","rae bareli district","6733","10672433.0"
"uttar-pradesh","fatehpur district","6720","11075268.0"
"odisha","balangir district","6643","8891909.0"
"rajasthan","jaisalmer district","6641","9122087.0"
"gujarat","navsari district","6629","11059806.0"
"bihar","khagaria district","6607","7986527.0"
"madhya-pradesh","katni district","6556","9041188.0"
"uttar-pradesh","sitapur district","6555","10442707.0"
"tamil-nadu","pudukkottai district","6554","8750875.0"
"bihar","nawada district","6470","8859954.0"
"tamil-nadu","ramanathapuram district","6457","8615217.0"
"uttar-pradesh","gonda district","6446","9777061.0"
"assam","darrang district","6445","8830278.0"
"west-bengal","darjeeling district","6430","9661418.0"
"rajasthan","jaipur rural district","6403","10733112.0"
"madhya-pradesh","raisen district","6400","9806706.0"
"uttar-pradesh","mirzapur district","6399","10192876.0"
"jharkhand","giridih district","6388","8752499.0"
"odisha","kalahandi district","6359","8412571.0"
"chhattisgarh","rajnandgaon district","6358","9404144.0"
"assam","karimganj district","6325","10382286.0"
"uttar-pradesh","siddharthnagar district","6291","9957860.0"
"bihar","buxar district","6289","9278050.0"
"bihar","madhepura district","6280","7189963.0"
"assam","bongaigaon district","6257","9370621.0"
"gujarat","morbi district","6226","7918084.0"
"bihar","supaul district","6213","7579983.0"
"uttar-pradesh","mainpuri district","6182","10073445.0"
