"pincode","registered_users"
"202001","305180"
"124001","305169"
"502032","305096"
"517507","305041"
"560058","304867"
"411046","304859"
"506002","304500"
"121102","304262"
"560091","304250"
"411014","304204"
"560064","303631"
"121003","303566"
"396230","303523"
"122002","303350"
"302017","303242"
"482002","303133"
"141008","302876"
"334001","302841"
"500039","302139"
"110053","301988"
"302029","301977"
"201102","301296"
"201301","301260"
"500037","300809"
"800006","300230"
"244001","300073"
"211002","300022"
"110059","300007"
"302001","299989"
"560079","299960"
"431003","299893"
"492001","299741"
"500055","299618"
"455001","299405"
"462001","299292"
"845401","299257"
"110096","299233"
"421302","298762"
"302020","298297"
"452001","298290"
"800020","298213"
"421301","298201"
"500013","297957"
"250001","297920"
"500008","297749"
"313001","297717"
"110044","297678"
"421201","297460"
"456006","297236"
"560037","297179"
"395006","297048"
"247001","296944"
"201009","296638"
"834001","296441"
"410206","296340"
"452010","296338"
"302015","296303"
"123401","296212"
"122006","296184"
"500072","296003"
"248001","295984"
"124001","295520"
"400612","295518"
"517501","295420"
"201307","295293"
"201318","295067"
"110092","295000"
"410501","294563"
"502032","294193"
"394210","294155"
"110085","293937"
"143001","293907"
"517507","293894"
"301001","293892"
"411033","293493"
"122001","293479"
"122004","293464"
"506002","293198"
"143001","293006"
"122002","292936"
"302017","292669"
"110042","292597"
"121102","292301"
"302012","292147"
"110041","291909"
"202001","291813"
"311001","291700"
"500039","291440"
"334001","291407"
"141008","291098"
"396230","291092"
"800001","291064"
"500018","290965"
"505001","290945"
"395010","290935"
"121001","290827"
"411046","290395"
"500037","290149"
"302001","289431"
"560068","289417"
"560064","289243"
"560076","289205"
"482002","288913"
"495001","288713"
"560043","288657"
"845401","288419"
"560100","288418"
"411014","288386"
"110086","288308"
"452001","288286"
"455001","287746"
"500013","287425"
"456006","287310"
"800020","287226"
"313001","287049"
"452010","286991"
"492001","286884"
"635109","286712"
"302029","286572"
"800006","286403"
"302015","285803"
"560058","285746"
"560079","285716"
"110094","285714"
"244001","285618"
"302020","285618"
"143001","285574"
"560078","285544"
"500055","285477"
"560091","285428"
"431003","285232"
"123401","285072"
"502032","285047"
"124001","284505"
"517507","284487"
"457001","284425"
"211002","284353"
"121003","284042"
"500008","283921"
"121004","283882"
"421301","283274"
"506002","283154"
"122004","283114"
"250001","282898"
"301001","282869"
"517501","282766"
"302017","282421"
"110053","282380"
"122006","282229"
"500039","281889"
"247001","281578"
"462001","281535"
"141008","280721"
"122002","280688"
"334001","280477"
"400612","280349"
"110096","280334"
"396230","280334"
"560037","280067"
"110092","280039"
"201102","280019"
"248001","280017"
"834001","279897"
"121102","279801"
"302001","279611"
"500072","279498"
"395004","279365"
"201318","278720"
"110044","278606"
"421201","278568"
"500013","278523"
"495001","278504"
"394210","278453"
"497001","278257"
"515001","278162"
"263139","278153"
"635109","277842"
"500037","277467"
"202001","277452"
"201307","277408"
"122001","277400"
"395003","277301"
"800020","277169"
"395006","276969"
"302015","276962"
"845401","276952"
"311001","276732"
"480001","276681"
"313001","276547"
"452010","276442"
"395010","276339"
