"state","year","quarter","transactions"
"kerala",2022,1,"95280965"
"kerala",2022,2,"106365322"
"kerala",2022,3,"119362904"
"kerala",2022,4,"132960468"
"kerala",2023,1,"147621565"
"kerala",2023,2,"156170617"
"kerala",2023,3,"170658651"
"kerala",2023,4,"179843093"
"kerala",2024,1,"181463966"
"kerala",2024,2,"194872467"
"kerala",2024,3,"214695458"
"kerala",2024,4,"233112441"
"ladakh",2018,1,"6089"
"ladakh",2018,2,"15010"
"ladakh",2018,3,"24864"
"ladakh",2018,4,"35211"
"ladakh",2019,1,"46145"
"ladakh",2019,2,"68772"
"ladakh",2019,3,"92396"
"ladakh",2019,4,"84706"
"ladakh",2020,1,"116419"
"ladakh",2020,2,"155010"
"ladakh",2020,3,"228222"
"ladakh",2020,4,"332134"
"ladakh",2021,1,"275415"
"ladakh",2021,2,"399716"
"ladakh",2021,3,"590987"
"ladakh",2021,4,"630187"
"ladakh",2022,1,"630015"
"ladakh",2022,2,"1118073"
"ladakh",2022,3,"1190858"
"ladakh",2022,4,"1083372"
"ladakh",2023,1,"1567246"
"ladakh",2023,2,"2943815"
"ladakh",2023,3,"3621366"
"ladakh",2023,4,"3150218"
"ladakh",2024,1,"2987101"
"ladakh",2024,2,"5327359"
"ladakh",2024,3,"6913885"
"ladakh",2024,4,"5711284"
"lakshadweep",2018,1,"778"
"lakshadweep",2018,2,"2132"
"lakshadweep",2018,3,"1703"
"lakshadweep",2018,4,"1642"
"lakshadweep",2019,1,"2481"
"lakshadweep",2019,2,"2926"
"lakshadweep",2019,3,"3104"
"lakshadweep",2019,4,"3765"
"lakshadweep",2020,1,"5151"
"lakshadweep",2020,2,"7220"
"lakshadweep",2020,3,"8589"
"lakshadweep",2020,4,"11650"
"lakshadweep",2021,1,"9085"
"lakshadweep",2021,2,"11384"
"lakshadweep",2021,3,"13370"
"lakshadweep",2021,4,"15470"
"lakshadweep",2022,1,"16397"
"lakshadweep",2022,2,"17569"
"lakshadweep",2022,3,"15241"
"lakshadweep",2022,4,"17147"
"lakshadweep",2023,1,"29520"
"lakshadweep",2023,2,"34918"
"lakshadweep",2023,3,"43757"
"lakshadweep",2023,4,"63479"
"lakshadweep",2024,1,"81176"
"lakshadweep",2024,2,"109085"
"lakshadweep",2024,3,"157478"
"lakshadweep",2024,4,"197777"
"madhya pradesh",2018,1,"8025395"
"madhya pradesh",2018,2,"10561412"
"madhya pradesh",2018,3,"17126985"
"madhya pradesh",2018,4,"21397555"
"madhya pradesh",2019,1,"37301049"
"madhya pradesh",2019,2,"40846013"
"madhya pradesh",2019,3,"53610411"
"madhya pradesh",2019,4,"68131989"
"madhya pradesh",2020,1,"79366746"
"madhya pradesh",2020,2,"76340573"
"madhya pradesh",2020,3,"108579881"
"madhya pradesh",2020,4,"153652541"
"madhya pradesh",2021,1,"201998498"
"madhya pradesh",2021,2,"223314680"
"madhya pradesh",2021,3,"311443334"
"madhya pradesh",2021,4,"404308084"
"madhya pradesh",2022,1,"472703058"
"madhya pradesh",2022,2,"544899829"
"madhya pradesh",2022,3,"731259559"
"madhya pradesh",2022,4,"898828268"
"madhya pradesh",2023,1,"734566970"
"madhya pradesh",2023,2,"848037060"
"madhya pradesh",2023,3,"978812593"
"madhya pradesh",2023,4,"1102294613"
"madhya pradesh",2024,1,"1286156614"
"madhya pradesh",2024,2,"1435472057"
"madhya pradesh",2024,3,"1537738457"
"madhya pradesh",2024,4,"1685401835"
"maharashtra",2018,1,"16387034"
"maharashtra",2018,2,"22285740"
"maharashtra",2018,3,"31538538"
"maharashtra",2018,4,"46090223"
"maharashtra",2019,1,"75079069"
"maharashtra",2019,2,"101149853"
"maharashtra",2019,3,"148735581"
"maharashtra",2019,4,"201260620"
"maharashtra",2020,1,"238944081"
"maharashtra",2020,2,"184790761"
"maharashtra",2020,3,"268310924"
"maharashtra",2020,4,"407621004"
"maharashtra",2021,1,"517860240"
"maharashtra",2021,2,"573616486"
"maharashtra",2021,3,"792874060"
"maharashtra",2021,4,"1010731502"
"maharashtra",2022,1,"1169506438"
"maharashtra",2022,2,"1407533113"
"maharashtra",2022,3,"1486389417"
"maharashtra",2022,4,"1688775272"
"maharashtra",2023,1,"1848268499"
"maharashtra",2023,2,"2063717848"
"maharashtra",2023,3,"2290678587"
"maharashtra",2023,4,"2572162725"
"maharashtra",2024,1,"2835770481"
"maharashtra",2024,2,"3063494802"
"maharashtra",2024,3,"3287403995"
"maharashtra",2024,4,"3634231839"
"manipur",2018,1,"84069"
"manipur",2018,2,"151721"
"manipur",2018,3,"189258"
"manipur",2018,4,"236110"
"manipur",2019,1,"265409"
"manipur",2019,2,"257425"
"manipur",2019,3,"345008"
"manipur",2019,4,"449344"
"manipur",2020,1,"818801"
"manipur",2020,2,"1083068"
"manipur",2020,3,"1420168"
"manipur",2020,4,"1627852"
"manipur",2021,1,"2303535"
"manipur",2021,2,"3086275"
"manipur",2021,3,"3941396"
"manipur",2021,4,"4687439"
"manipur",2022,1,"5313679"
"manipur",2022,2,"6105632"
"manipur",2022,3,"6352742"
"manipur",2022,4,"6428670"
"manipur",2023,1,"3258383"
"manipur",2023,2,"1606271"
"manipur",2023,3,"865478"
"manipur",2023,4,"2113200"
"manipur",2024,1,"3845564"
"manipur",2024,2,"5063324"
"manipur",2024,3,"5700096"
"manipur",2024,4,"5750423"
"meghalaya",2018,1,"49571"
