"state","district","total_registrations"
"madhya-pradesh","shahdol district","5289746"
"kerala","wayanad district","5279016"
"telangana","jangaon district","5274302"
"telangana","rajanna sircilla district","5226884"
"bihar","kishanganj district","5224522"
"uttar-pradesh","auraiya district","5222326"
"tamil-nadu","karur district","5189074"
"uttar-pradesh","kanpur dehat district","5154149"
"gujarat","gir somnath district","5131304"
"rajasthan","dholpur district","5128932"
"karnataka","yadgir district","5076365"
"assam","dibrugarh district","5057945"
"assam","kamrup district","5048474"
"assam","sonitpur district","5044060"
"telangana","nirmal district","4992417"
"madhya-pradesh","damoh district","4899036"
"tamil-nadu","ramanathapuram district","4879706"
"jharkhand","saraikela kharsawan district","4868184"
"tamil-nadu","nagapattinam district","4811838"
"odisha","rayagada district","4805226"
"chhattisgarh","baloda bazar district","4782485"
"chhattisgarh","surguja district","4763776"
"tamil-nadu","tenkasi district","4752817"
"rajasthan","banswara district","4732833"
"maharashtra","sindhudurg district","4680217"
"karnataka","chamarajanagara district","4603978"
"jharkhand","garhwa district","4589522"
"delhi","south east district","4583128"
"telangana","jogulamba gadwal district","4571518"
"bihar","kaimur bhabua district","4568461"
"karnataka","kodagu district","4552446"
"uttar-pradesh","sant kabeer nagar district","4495135"
"punjab","pathankot district","4491819"
"maharashtra","gadchiroli district","4491447"
"chhattisgarh","mahasamund district","4470939"
"uttar-pradesh","kasganj district","4469035"
"madhya-pradesh","barwani district","4458311"
"madhya-pradesh","sidhi district","4448891"
"uttar-pradesh","lalitpur district","4414293"
"uttar-pradesh","banda district","4379007"
"assam","tinsukia district","4358608"
"bihar","jehanabad district","4341097"
"telangana","adilabad district","4320382"
"telangana","wanaparthy district","4258996"
"uttar-pradesh","balrampur district","4235065"
"rajasthan","dungarpur district","4077822"
"uttarakhand","pauri garhwal district","4059892"
"gujarat","botad district","4017701"
"madhya-pradesh","mandla district","4017263"
"madhya-pradesh","tikamgarh district","4006746"
"jharkhand","koderma district","3983017"
"gujarat","aravallis district","3969687"
"andhra-pradesh","ntr district","3964617"
"tamil-nadu","the nilgiris district","3955863"
"punjab","sri muktsar sahib district","3890262"
"jharkhand","godda district","3842171"
"gujarat","dohad district","3840545"
"punjab","kapurthala district","3839985"
"punjab","rupnagar district","3826899"
"jammu-&-kashmir","srinagar district","3816332"
"andhra-pradesh","tirupati district","3798145"
"bihar","lakhisarai district","3792387"
"jharkhand","west singhbhum district","3777373"
"west-bengal","jhargram district","3726340"
"assam","jorhat district","3721149"
"assam","dhubri district","3716862"
"dadra-&-nagar-haveli-&-daman-&-diu","daman district","3670974"
"uttar-pradesh","hamirpur district","3654608"
"madhya-pradesh","burhanpur district","3642314"
"himachal-pradesh","sirmaur district","3621509"
"punjab","firozepur district","3609664"
"madhya-pradesh","anuppur district","3595833"
"madhya-pradesh","ashoknagar district","3593713"
"jharkhand","dumka district","3504959"
"uttar-pradesh","kaushambi district","3500780"
"madhya-pradesh","datia district","3479746"
"punjab","fatehgarh sahib district","3460514"
"chhattisgarh","bastar district","3443946"
"jharkhand","chatra district","3442789"
"punjab","moga district","3407600"
"punjab","tarn taran district","3399171"
"tamil-nadu","thiruvarur district","3361958"
"tamil-nadu","tiruvallur district","3350094"
"himachal-pradesh","hamirpur district","3331776"
"punjab","mansa district","3325727"
"chhattisgarh","dhamtari district","3312170"
"chhattisgarh","balod district","3299624"
"himachal-pradesh","kullu district","3294018"
"assam","golaghat district","3284789"
"madhya-pradesh","panna district","3268446"
"telangana","narayanpet district","3265591"
"telangana","jaya shankar bhalupally district","3242827"
"assam","goalpara district","3211571"
"madhya-pradesh","jhabua district","3207954"
"madhya-pradesh","harda district","3178879"
"jammu-&-kashmir","baramulla district","3159336"
"gujarat","tapi district","3141413"
"uttarakhand","tehri garhwal district","3131626"
"chhattisgarh","jashpur district","3123976"
"himachal-pradesh","una district","3099786"
"chhattisgarh","surajpur district","3095702"
"rajasthan","pratapgarh district","3087299"
"tamil-nadu","ariyalur district","3086580"
"jharkhand","jamtara district","3081955"
"chhattisgarh","kabirdham district","3076243"
"assam","karimganj district","3011066"
"assam","lakhimpur district","3008010"
"madhya-pradesh","agar malwa district","3007969"
"telangana","kumuram bheem asifabad district","2992237"
"odisha","nabarangpur district","2948651"
"andhra-pradesh","sri potti sriramulu nellore district","2932118"
"uttar-pradesh","mahoba district","2907230"
"rajasthan","jaipur rural district","2902009"
"gujarat","devbhumi dwarka district","2882663"
"manipur","imphal west district","2873167"
"punjab","faridkot district","2860470"
"haryana","charkhi dadri district","2860459"
"chhattisgarh","bemetara district","2847975"
"west-bengal","malda district","2837887"
"chhattisgarh","korea district","2793808"
"gujarat","mahisagar district","2790163"
"gujarat","banaskantha district","2785805"
"nagaland","dimapur district","2785205"
"assam","bongaigaon district","2742485"
"andhra-pradesh","ananthapuramu district","2678865"
"odisha","kandhamal district","2674696"
"chhattisgarh","kanker district","2673765"
"uttarakhand","almora district","2646203"
"odisha","sonepur district","2638210"
"andhra-pradesh","kakinada district","2627487"
"tamil-nadu","perambalur district","2602302"
"uttar-pradesh","chitrakoot district","2549291"
"assam","darrang district","2535203"
"madhya-pradesh","umaria district","2491763"
"assam","sivasagar district","2452405"
"sikkim","east district","2451337"
"punjab","barnala district","2442186"
"bihar","arwal district","2433969"
"meghalaya","east khasi hills district","2430022"
"madhya-pradesh","sheopur district","2426604"
"jharkhand","sahebganj district","2421233"
"himachal-pradesh","bilaspur district","2405499"
"assam","baksa district","2388862"
"odisha","gajapati district","2384816"
"himachal-pradesh","chamba district","2379141"
"assam","marigaon district","2375828"
"assam","hojai district","2372471"
"arunachal-pradesh","papum pare district","2330974"
"odisha","nuapada district","2326616"
"bihar","sheikhpura district","2312080"
"jammu-&-kashmir","budgam district","2287815"
"assam","dhemaji district","2266457"
"assam","nalbari district","2265364"
"chhattisgarh","mungeli district","2248494"
"jharkhand","latehar district","2245346"
"jammu-&-kashmir","anantnag district","2224894"
"uttarakhand","pithoragarh district","2220976"
"telangana","mulugu district","2175370"
"assam","kokrajhar district","2167460"
"andhra-pradesh","eluru district","2165916"
"madhya-pradesh","dindori district","2160157"
"uttar-pradesh","lakhimpur kheri district","2107583"
"jammu-&-kashmir","kathua district","2088946"
"gujarat","porbandar district","2081085"
"jammu-&-kashmir","kupwara district","2080388"
"bihar","purnea district","2066496"
"chhattisgarh","balrampur district","2005326"
"odisha","baleswar district","1971171"
"assam","udalguri district","1964416"
"andhra-pradesh","palnadu district","1952722"
"jammu-&-kashmir","udhampur district","1947356"
"odisha","malkangiri district","1936100"
"jharkhand","gumla district","1934983"
"uttarakhand","chamoli district","1928430"
"gujarat","chhotaudepur district","1923785"
"assam","karbi anglong district","1919282"
"assam","hailakandi district","1918623"
"bihar","sheohar district","1914747"
"assam","biswanath district","1888682"
"odisha","boudh district","1872972"
"andhra-pradesh","annamayya district","1865962"
"manipur","imphal east district","1853619"
"chhattisgarh","kondagaon district","1851187"
"west-bengal","cooch behar district","1831342"
"andhra-pradesh","nandyal district","1825049"
"odisha","jajpur district","1813174"
"jharkhand","pakur district","1803480"
"andhra-pradesh","sri sathyasai district","1788639"
"jammu-&-kashmir","samba district","1780538"
"ladakh","leh ladakh district","1746093"
"andhra-pradesh","anakapalli district","1744493"
"west-bengal","darjeeling district","1734962"
"gujarat","narmada district","1708082"
"uttar-pradesh","shravasti district","1700045"
"chhattisgarh","gariyaband district","1673328"
"punjab","shahid bhagat singh nagar district","1643009"
"jammu-&-kashmir","rajouri district","1635813"
"jharkhand","hazaribag district","1627658"
"jammu-&-kashmir","pulwama district","1611347"
"andhra-pradesh","dr br ambedkar konaseema district","1597756"
"madhya-pradesh","niwari district","1587738"
"uttarakhand","uttarkashi district","1551808"
"rajasthan","jodhpur rural district","1540792"
"andaman-&-nicobar-islands","south andaman district","1537895"
"rajasthan","khairthal tijara district","1530896"
"madhya-pradesh","alirajpur district","1517484"
"uttar-pradesh","barabanki district","1511475"
"tripura","south tripura district","1475172"
"jharkhand","lohardaga district","1473925"
"tripura","sepahijala district","1459513"
"rajasthan","kotputli behror district","1452418"
"telangana","hanumakonda district","1447790"
"maharashtra","dharashiv district","1443596"
"rajasthan","deedwana kuchaman district","1431604"
"andhra-pradesh","bapatla district","1424355"
"rajasthan","sri ganganagar district","1419173"
"tripura","north tripura district","1400859"
"mizoram","aizawl district","1393546"
"karnataka","chikkaballapur district","1379216"
