"state","district","registered_users"
"tamil-nadu","coimbatore district","2453619"
"maharashtra","mumbai district","2450770"
"telangana","medchal malkajgiri district","2450573"
"bihar","patna district","2443356"
"west-bengal","south twenty four parganas district","2439683"
"madhya-pradesh","bhopal district","2436143"
"andhra-pradesh","east godavari district","2432305"
"haryana","faridabad district","2432061"
"andhra-pradesh","krishna district","2423373"
"uttar-pradesh","ghaziabad district","2421605"
"andhra-pradesh","anantapur district","2421293"
"haryana","gurugram district","2416391"
"madhya-pradesh","indore district","2412576"
"andhra-pradesh","west godavari district","2409237"
"maharashtra","nagpur district","2407812"
"maharashtra","mumbai suburban district","2407754"
"maharashtra","thane district","2396815"
"odisha","khordha district","2395932"
"tamil-nadu","thiruvallur district","2393917"
"andhra-pradesh","chittoor district","2392549"
"maharashtra","aurangabad district","2390854"
"tamil-nadu","chennai district","2388315"
"andhra-pradesh","guntur district","2387051"
"gujarat","ahmadabad district","2384154"
"andhra-pradesh","kurnool district","2383042"
"west-bengal","murshidabad district","2382885"
"maharashtra","ahmednagar district","2381246"
"delhi","south east delhi district","2378417"
"maharashtra","palghar district","2375656"
"andhra-pradesh","visakhapatnam district","2368081"
"uttar-pradesh","prayagraj district","2366419"
"tamil-nadu","coimbatore district","2365485"
"maharashtra","mumbai district","2361852"
"rajasthan","alwar district","2357624"
"punjab","ludhiana district","2352294"
"maharashtra","nashik district","2352259"
"tamil-nadu","chengalpattu district","2351888"
"uttar-pradesh","lucknow district","2348173"
"delhi","west district","2348063"
"madhya-pradesh","bhopal district","2344171"
"haryana","faridabad district","2342026"
"maharashtra","palghar district","2341896"
"west-bengal","kolkata district","2340343"
"west-bengal","south twenty four parganas district","2333257"
"uttar-pradesh","gautam buddha nagar district","2329954"
"andhra-pradesh","anantapur district","2323796"
"haryana","faridabad district","2323097"
"west-bengal","north twenty four parganas district","2321888"
"delhi","south east district","2320701"
"andhra-pradesh","west godavari district","2319971"
"tamil-nadu","chengalpattu district","2319818"
"telangana","rangareddy district","2313748"
"odisha","khordha district","2305026"
"bihar","patna district","2303852"
"maharashtra","aurangabad district","2300283"
"uttar-pradesh","ghaziabad district","2298103"
"maharashtra","ahmednagar district","2297997"
"andhra-pradesh","kurnool district","2295754"
"andhra-pradesh","east godavari district","2294347"
"maharashtra","solapur district","2293916"
"delhi","south east delhi district","2291746"
"madhya-pradesh","indore district","2291709"
"rajasthan","jaipur district","2290462"
"tamil-nadu","thiruvallur district","2290089"
"andhra-pradesh","krishna district","2288148"
"punjab","ludhiana district","2288105"
"maharashtra","palghar district","2286819"
"maharashtra","nagpur district","2286011"
"uttar-pradesh","prayagraj district","2284614"
"telangana","hyderabad district","2283903"
"telangana","medchal malkajgiri district","2282695"
"gujarat","surat district","2278232"
"maharashtra","palghar district","2277990"
"tamil-nadu","coimbatore district","2277873"
"maharashtra","mumbai district","2276888"
"maharashtra","solapur district","2271533"
"west-bengal","murshidabad district","2271497"
"andhra-pradesh","chittoor district","2270705"
"rajasthan","alwar district","2270393"
"tamil-nadu","chengalpattu district","2267245"
"madhya-pradesh","bhopal district","2265685"
"haryana","faridabad district","2263356"
"haryana","gurugram district","2262589"
"delhi","south east district","2262427"
"tamil-nadu","chennai district","2261346"
"haryana","faridabad district","2254787"
"maharashtra","raigad district","2254229"
"tamil-nadu","chengalpattu district","2254071"
"andhra-pradesh","guntur district","2252443"
"uttar-pradesh","prayagraj district","2246704"
"west-bengal","south twenty four parganas district","2243985"
"karnataka","belagavi district","2239598"
"delhi","west district","2235907"
"maharashtra","raigad district","2234414"
"andhra-pradesh","anantapur district","2228505"
"andhra-pradesh","west godavari district","2227243"
"odisha","khordha district","2220922"
"uttar-pradesh","lucknow district","2215886"
"west-bengal","kolkata district","2213659"
"maharashtra","solapur district","2209975"
"andhra-pradesh","visakhapatnam district","2209658"
"maharashtra","ahmednagar district","2208055"
"delhi","south east delhi district","2207076"
"andhra-pradesh","kurnool district","2202517"
"maharashtra","aurangabad district","2201353"
"tamil-nadu","coimbatore district","2200165"
"maharashtra","palghar district","2198589"
"maharashtra","solapur district","2194106"
"punjab","ludhiana district","2193835"
"maharashtra","nashik district","2191882"
"west-bengal","murshidabad district","2188015"
"gujarat","ahmadabad district","2185983"
"kerala","ernakulam district","2185070"
